peak_id	pos_patterns.pattern_0	pos_patterns.pattern_3	pos_patterns.pattern_9	pos_patterns.pattern_2	pos_patterns.pattern_1	pos_patterns.pattern_4	pos_patterns.pattern_8	pos_patterns.pattern_11	pos_patterns.pattern_7	pos_patterns.pattern_10	pos_patterns.pattern_5	pos_patterns.pattern_6	total
131	0	0	0	0	0	1	1	0	0	0	0	0	2
132	5	0	0	0	0	0	0	0	0	0	0	0	5
133	1	0	0	0	0	0	0	0	0	0	0	0	1
134	0	0	0	1	0	0	0	0	0	0	0	0	1
135	2	0	0	0	0	0	0	1	0	0	0	0	3
136	1	0	0	0	3	0	0	1	0	0	0	0	5
137	1	0	0	0	0	0	0	0	0	0	0	0	1
138	3	0	0	1	0	0	0	0	0	0	0	0	4
140	1	0	0	0	0	0	0	0	0	0	0	0	1
141	1	0	0	0	3	0	0	0	0	0	0	0	4
142	0	1	0	1	0	0	0	0	0	0	0	0	2
144	4	0	0	0	0	0	0	0	0	0	0	0	4
145	3	0	0	0	0	0	0	0	0	0	0	0	3
146	2	0	0	0	0	0	0	0	0	0	0	0	2
147	1	0	1	0	0	0	0	0	0	0	0	0	2
148	0	0	0	2	0	0	0	0	0	0	0	0	2
149	0	0	0	1	0	0	0	1	0	0	0	0	2
150	1	0	1	1	0	0	0	0	0	0	0	0	3
151	2	0	0	1	0	0	0	0	0	0	0	0	3
152	0	0	0	0	1	0	0	0	0	0	0	0	1
153	1	1	0	0	1	0	0	0	0	0	0	0	3
156	2	0	0	0	0	0	0	0	0	0	0	0	2
157	2	0	0	0	0	0	0	0	0	0	0	0	2
158	0	0	0	0	2	1	0	0	1	0	0	0	4
159	0	0	0	1	1	0	0	0	0	0	0	0	2
160	2	0	1	0	0	0	0	0	0	0	0	0	3
161	1	0	0	0	0	0	0	0	0	0	0	0	1
162	1	0	0	0	0	0	0	1	0	0	0	0	2
164	2	0	0	1	0	0	0	0	0	0	0	0	3
165	1	0	0	0	0	0	0	0	0	0	0	0	1
167	0	0	0	1	0	0	0	0	0	0	0	0	1
168	4	0	0	0	0	0	0	0	0	0	0	0	4
169	2	0	0	0	2	0	0	0	0	0	0	0	4
170	1	0	0	0	1	0	0	0	0	0	0	0	2
171	1	0	0	0	0	0	0	2	0	0	0	0	3
172	1	0	0	1	1	0	0	0	0	0	0	0	3
173	0	2	0	0	1	0	0	0	0	0	0	0	3
175	2	0	0	0	0	0	0	1	0	0	0	0	3
176	1	0	0	0	1	0	0	0	0	0	0	0	2
177	0	0	0	1	0	0	0	0	0	0	0	0	1
179	0	0	0	0	1	0	0	0	0	0	0	0	1
180	2	0	0	0	0	0	0	0	0	0	0	0	2
