motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
4	++++	34	1.19	0.069	0.0309	0.9055	0.0552	0.0247	2.4136	0.1184	0.0529
4	++++	35	1.2066	0.0507	0.0227	0.9221	0.0362	0.0162	2.4251	0.1103	0.0493
4	++++	36	1.2001	0.0744	0.0333	0.9157	0.0612	0.0274	2.4206	0.1166	0.0522
4	++++	37	1.1326	0.0628	0.0281	0.8481	0.0512	0.0229	2.3738	0.1072	0.0479
4	++++	38	1.1943	0.0761	0.034	0.9098	0.0637	0.0285	2.4166	0.1118	0.05
4	++++	39	1.1859	0.0616	0.0275	0.9014	0.0483	0.0216	2.4107	0.1117	0.0499
4	++++	40	1.1393	0.0707	0.0316	0.8548	0.0596	0.0267	2.3784	0.1108	0.0496
4	++++	41	1.0827	0.0416	0.0186	0.7982	0.0262	0.0117	2.3392	0.122	0.0546
4	++++	42	1.1241	0.0746	0.0334	0.8396	0.0652	0.0292	2.3679	0.1059	0.0473
4	++++	43	1.1312	0.0618	0.0277	0.8467	0.0496	0.0222	2.3728	0.1067	0.0477
4	++++	44	1.1476	0.0693	0.031	0.8632	0.0599	0.0268	2.3842	0.1065	0.0476
4	++++	45	1.0611	0.053	0.0237	0.7766	0.0404	0.0181	2.3242	0.1067	0.0477
4	++++	46	1.1138	0.068	0.0304	0.8293	0.0576	0.0258	2.3608	0.106	0.0474
4	++++	47	1.097	0.0622	0.0278	0.8125	0.0467	0.0209	2.3491	0.1199	0.0536
4	++++	48	1.1241	0.0647	0.029	0.8397	0.0567	0.0254	2.3679	0.107	0.0478
4	++++	49	1.0128	0.0437	0.0195	0.7283	0.0329	0.0147	2.2907	0.1075	0.0481
4	++++	50	1.1073	0.066	0.0295	0.8228	0.0584	0.0261	2.3562	0.1049	0.0469
4	++--	0	1.6149	0.3308	0.1479	1.3304	0.334	0.1494	2.7081	0.2126	0.0951
4	++--	1	0.6461	0.1551	0.0694	0.3616	0.1677	0.075	2.0365	0.0768	0.0343
4	++--	2	0.8323	0.1059	0.0474	0.5479	0.0999	0.0447	2.1657	0.0813	0.0364
4	++--	3	1.549	0.1665	0.0745	1.2645	0.1783	0.0797	2.6624	0.122	0.0546
4	++--	4	1.3412	0.0711	0.0318	1.0568	0.0759	0.0339	2.5184	0.0757	0.0339
4	++--	5	0.9761	0.2123	0.095	0.6916	0.2243	0.1003	2.2653	0.0701	0.0313
4	++--	6	1.3956	0.0891	0.0398	1.1111	0.08	0.0358	2.5561	0.0999	0.0447
4	++--	7	1.3531	0.2102	0.094	1.0686	0.2191	0.098	2.5266	0.1495	0.0669
4	++--	8	1.4087	0.1085	0.0485	1.1242	0.0971	0.0434	2.5652	0.1281	0.0573
4	++--	9	1.472	0.1625	0.0727	1.1875	0.1664	0.0744	2.609	0.1059	0.0474
4	++--	10	1.2501	0.1026	0.0459	0.9656	0.0868	0.0388	2.4552	0.1484	0.0663
4	++--	11	1.373	0.1546	0.0691	1.0885	0.1571	0.0702	2.5404	0.0823	0.0368
4	++--	12	1.3223	0.0813	0.0363	1.0379	0.0669	0.0299	2.5053	0.1223	0.0547
4	++--	13	1.2251	0.1074	0.048	0.9406	0.1088	0.0486	2.4379	0.0766	0.0342
4	++--	14	1.2869	0.1126	0.0503	1.0024	0.0977	0.0437	2.4807	0.1295	0.0579
4	++--	15	1.436	0.0686	0.0307	1.1515	0.0649	0.029	2.5841	0.0819	0.0366
4	++--	16	1.3014	0.1059	0.0474	1.0169	0.0912	0.0408	2.4908	0.1287	0.0576
4	++--	17	1.182	0.0566	0.0253	0.8976	0.0523	0.0234	2.4081	0.0848	0.0379
4	++--	18	1.3065	0.1006	0.045	1.022	0.087	0.0389	2.4943	0.1299	0.0581
4	++--	19	1.3907	0.0469	0.021	1.1062	0.0401	0.0179	2.5527	0.0907	0.0406
4	++--	20	1.2657	0.0897	0.0401	0.9812	0.0755	0.0337	2.466	0.1199	0.0536
4	++--	21	1.2089	0.0674	0.0301	0.9244	0.0592	0.0265	2.4267	0.1144	0.0511
4	++--	22	1.2422	0.0923	0.0413	0.9577	0.0784	0.0351	2.4498	0.1274	0.057
4	++--	23	1.3419	0.0544	0.0243	1.0574	0.0434	0.0194	2.5188	0.1007	0.045
4	++--	24	1.2662	0.0849	0.038	0.9817	0.0711	0.0318	2.4664	0.1147	0.0513
4	++--	25	1.301	0.0836	0.0374	1.0165	0.0703	0.0314	2.4905	0.1505	0.0673
4	++--	26	1.2318	0.0889	0.0397	0.9473	0.0749	0.0335	2.4425	0.1243	0.0556
4	++--	27	1.2944	0.0558	0.025	1.0099	0.0417	0.0187	2.4859	0.11	0.0492
4	++--	28	1.2348	0.0796	0.0356	0.9503	0.0655	0.0293	2.4446	0.119	0.0532
4	++--	29	1.2245	0.058	0.0259	0.94	0.0486	0.0218	2.4375	0.1015	0.0454
4	++--	30	1.2199	0.0831	0.0372	0.9354	0.0687	0.0307	2.4343	0.1219	0.0545
4	++--	31	1.2682	0.0666	0.0298	0.9837	0.0515	0.023	2.4678	0.1171	0.0524
4	++--	32	1.2053	0.0733	0.0328	0.9209	0.0596	0.0266	2.4242	0.1152	0.0515
4	++--	33	1.1618	0.0449	0.0201	0.8773	0.0352	0.0157	2.394	0.1016	0.0454
4	++--	34	1.1869	0.0715	0.032	0.9024	0.0585	0.0262	2.4114	0.1157	0.0517
4	++--	35	1.2071	0.0497	0.0222	0.9226	0.0351	0.0157	2.4254	0.1103	0.0493
4	++--	36	1.1987	0.0721	0.0323	0.9143	0.059	0.0264	2.4196	0.116	0.0519
4	++--	37	1.1364	0.0645	0.0288	0.8519	0.0531	0.0238	2.3764	0.1048	0.0469
4	++--	38	1.1937	0.0796	0.0356	0.9092	0.0675	0.0302	2.4161	0.1116	0.0499
4	++--	39	1.1911	0.0655	0.0293	0.9067	0.0527	0.0236	2.4144	0.1099	0.0492
4	++--	40	1.1426	0.0697	0.0312	0.8581	0.0586	0.0262	2.3807	0.1104	0.0494
4	++--	41	1.0913	0.0405	0.0181	0.8068	0.0247	0.0111	2.3452	0.1193	0.0533
4	++--	42	1.1279	0.0788	0.0352	0.8434	0.0699	0.0313	2.3705	0.105	0.0469
4	++--	43	1.1291	0.0587	0.0262	0.8446	0.0468	0.0209	2.3713	0.1052	0.047
4	++--	44	1.1494	0.0673	0.0301	0.8649	0.0584	0.0261	2.3854	0.1055	0.0472
4	++--	45	1.0652	0.0544	0.0243	0.7807	0.0419	0.0187	2.327	0.1051	0.047
4	++--	46	1.1133	0.0697	0.0312	0.8288	0.0596	0.0266	2.3604	0.1066	0.0477
4	++--	47	1.1003	0.0644	0.0288	0.8158	0.0496	0.0222	2.3514	0.1176	0.0526
4	++--	48	1.1266	0.0646	0.0289	0.8421	0.0567	0.0254	2.3696	0.1047	0.0468
4	++--	49	1.0146	0.0464	0.0207	0.7301	0.0361	0.0162	2.292	0.1052	0.047
4	++--	50	1.1086	0.0726	0.0325	0.8241	0.066	0.0295	2.3571	0.1044	0.0467
4	+-+-	0	1.66	0.4035	0.1805	1.3755	0.4083	0.1826	2.7394	0.2366	0.1058
4	+-+-	1	0.67	0.1395	0.0624	0.3855	0.1509	0.0675	2.0531	0.0764	0.0342
4	+-+-	2	0.7854	0.0925	0.0414	0.5009	0.0827	0.037	2.1331	0.0939	0.042
4	+-+-	3	1.5331	0.1664	0.0744	1.2486	0.1753	0.0784	2.6514	0.1131	0.0506
4	+-+-	4	1.3609	0.0686	0.0307	1.0764	0.0747	0.0334	2.532	0.0696	0.0311
4	+-+-	5	0.9846	0.2184	0.0976	0.7001	0.2309	0.1032	2.2712	0.0781	0.0349
