motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_REST_mean	log2_fc_vs_single_REST_std	log2_fc_vs_single_REST_sem
2	+-	32	0.1651	0.0142	0.0064	0.0777	0.0116	0.0052	1.7177	0.1029	0.046	0.0001	0.0138	0.0062	0.1554	0.0098	0.0044
2	+-	33	0.1648	0.0129	0.0058	0.0775	0.0113	0.005	1.7175	0.1012	0.0452	-0.0002	0.0134	0.006	0.1551	0.0097	0.0043
2	+-	34	0.1638	0.0131	0.0059	0.0765	0.0112	0.005	1.7168	0.1018	0.0455	-0.0011	0.0134	0.006	0.1541	0.0094	0.0042
2	+-	35	0.1608	0.0116	0.0052	0.0735	0.0089	0.004	1.7147	0.1027	0.0459	-0.0041	0.0117	0.0052	0.1511	0.0064	0.0028
2	+-	36	0.1522	0.0116	0.0052	0.0649	0.0078	0.0035	1.7088	0.1051	0.047	-0.0128	0.0096	0.0043	0.1425	0.0069	0.0031
2	+-	37	0.1501	0.0089	0.004	0.0628	0.0065	0.0029	1.7073	0.1025	0.0458	-0.0149	0.0091	0.0041	0.1404	0.0043	0.0019
2	+-	38	0.1446	0.0094	0.0042	0.0573	0.0073	0.0033	1.7035	0.1024	0.0458	-0.0204	0.0097	0.0043	0.1349	0.0056	0.0025
2	+-	39	0.1459	0.0111	0.005	0.0586	0.0086	0.0038	1.7044	0.1027	0.0459	-0.019	0.0109	0.0049	0.1362	0.0068	0.0031
2	+-	40	0.1707	0.0093	0.0042	0.0833	0.0058	0.0026	1.7216	0.1048	0.0469	0.0057	0.008	0.0036	0.1609	0.0046	0.0021
2	+-	41	0.1702	0.0082	0.0037	0.0828	0.0046	0.0021	1.7212	0.1054	0.0472	0.0052	0.0064	0.0029	0.1604	0.0045	0.002
2	+-	42	0.1654	0.0109	0.0049	0.0781	0.0071	0.0032	1.7179	0.106	0.0474	0.0005	0.0082	0.0036	0.1557	0.0073	0.0032
2	+-	43	0.1621	0.0102	0.0045	0.0748	0.006	0.0027	1.7157	0.1058	0.0473	-0.0028	0.0072	0.0032	0.1524	0.0062	0.0028
2	+-	44	0.165	0.0078	0.0035	0.0777	0.0051	0.0023	1.7177	0.1041	0.0465	0.0001	0.0062	0.0028	0.1553	0.0056	0.0025
2	+-	45	0.1672	0.0068	0.003	0.0799	0.002	0.0009	1.7192	0.1053	0.0471	0.0023	0.0038	0.0017	0.1575	0.0034	0.0015
2	+-	46	0.1707	0.0095	0.0043	0.0833	0.0051	0.0023	1.7216	0.106	0.0474	0.0057	0.0066	0.003	0.1609	0.0051	0.0023
2	+-	47	0.1654	0.0086	0.0038	0.078	0.0045	0.002	1.7179	0.1049	0.0469	0.0004	0.0065	0.0029	0.1556	0.0041	0.0018
2	+-	48	0.1682	0.0078	0.0035	0.0809	0.005	0.0022	1.7199	0.1039	0.0465	0.0033	0.0062	0.0028	0.1585	0.0055	0.0024
2	+-	49	0.1638	0.0078	0.0035	0.0764	0.0053	0.0024	1.7168	0.1039	0.0465	-0.0012	0.0064	0.0028	0.154	0.0059	0.0026
2	+-	50	0.1466	0.0105	0.0047	0.0593	0.0065	0.0029	1.7049	0.1058	0.0473	-0.0183	0.0077	0.0035	0.1369	0.0064	0.0029
2	-+	0	0.0161	0.0067	0.003	-0.0712	0.0096	0.0043	1.6145	0.1002	0.0448	-0.1488	0.0108	0.0048	0.0064	0.0094	0.0042
2	-+	1	0.2134	0.0202	0.009	0.126	0.0209	0.0093	1.7512	0.0931	0.0416	0.0484	0.0233	0.0104	0.2037	0.0186	0.0083
2	-+	2	0.3079	0.0189	0.0084	0.2206	0.0222	0.0099	1.8167	0.1009	0.0451	0.143	0.0206	0.0092	0.2982	0.0241	0.0108
2	-+	3	0.2765	0.0351	0.0157	0.1891	0.0384	0.0172	1.7949	0.0888	0.0397	0.1115	0.0395	0.0177	0.2667	0.0374	0.0167
2	-+	4	0.2717	0.0346	0.0155	0.1844	0.0307	0.0137	1.7916	0.1154	0.0516	0.1067	0.0319	0.0143	0.262	0.0298	0.0133
2	-+	5	0.399	0.0369	0.0165	0.3116	0.0386	0.0173	1.8798	0.0896	0.0401	0.234	0.0398	0.0178	0.3892	0.0376	0.0168
2	-+	6	0.5538	0.0382	0.0171	0.4665	0.0415	0.0186	1.9872	0.0782	0.035	0.3889	0.0432	0.0193	0.5441	0.04	0.0179
2	-+	7	0.2707	0.0304	0.0136	0.1834	0.0271	0.0121	1.7909	0.11	0.0492	0.1058	0.0278	0.0124	0.261	0.0267	0.012
2	-+	8	0.297	0.036	0.0161	0.2097	0.0318	0.0142	1.8091	0.1165	0.0521	0.132	0.0324	0.0145	0.2873	0.0315	0.0141
2	-+	9	0.529	0.0427	0.0191	0.4417	0.0462	0.0206	1.97	0.0752	0.0336	0.3641	0.0473	0.0212	0.5193	0.0452	0.0202
2	-+	10	0.2846	0.0308	0.0138	0.1973	0.0287	0.0129	1.8006	0.1058	0.0473	0.1197	0.0292	0.0131	0.2749	0.0286	0.0128
2	-+	11	0.1847	0.0224	0.01	0.0974	0.0203	0.0091	1.7313	0.1046	0.0468	0.0198	0.0209	0.0094	0.175	0.0202	0.009
2	-+	12	0.2176	0.0115	0.0051	0.1302	0.0096	0.0043	1.7541	0.1025	0.0458	0.0526	0.0114	0.0051	0.2079	0.0084	0.0037
2	-+	13	0.2114	0.0232	0.0104	0.1241	0.0217	0.0097	1.7498	0.1027	0.0459	0.0465	0.0224	0.01	0.2017	0.0213	0.0095
2	-+	14	0.1864	0.016	0.0072	0.0991	0.0147	0.0066	1.7325	0.1021	0.0457	0.0215	0.0155	0.0069	0.1767	0.0144	0.0064
2	-+	15	0.189	0.0154	0.0069	0.1017	0.0115	0.0051	1.7343	0.1078	0.0482	0.024	0.0131	0.0059	0.1793	0.0105	0.0047
2	-+	16	0.2027	0.0105	0.0047	0.1154	0.0058	0.0026	1.7438	0.1078	0.0482	0.0378	0.0061	0.0027	0.193	0.0069	0.0031
2	-+	17	0.1706	0.0112	0.005	0.0833	0.0076	0.0034	1.7215	0.1046	0.0468	0.0056	0.01	0.0045	0.1609	0.0059	0.0026
2	-+	18	0.1875	0.0111	0.005	0.1001	0.0079	0.0035	1.7332	0.1056	0.0472	0.0225	0.009	0.004	0.1778	0.0078	0.0035
2	-+	19	0.1764	0.01	0.0045	0.089	0.0059	0.0026	1.7255	0.106	0.0474	0.0114	0.0071	0.0032	0.1666	0.006	0.0027
2	-+	20	0.1909	0.017	0.0076	0.1035	0.0146	0.0065	1.7356	0.1045	0.0467	0.0259	0.0164	0.0073	0.1811	0.0132	0.0059
2	-+	21	0.1944	0.0102	0.0046	0.1071	0.0075	0.0033	1.7381	0.1043	0.0467	0.0295	0.0083	0.0037	0.1847	0.0078	0.0035
2	-+	22	0.1757	0.0142	0.0063	0.0883	0.0106	0.0047	1.725	0.1068	0.0478	0.0107	0.0118	0.0053	0.1659	0.0102	0.0046
2	-+	23	0.1727	0.0132	0.0059	0.0853	0.0095	0.0043	1.723	0.1054	0.0472	0.0077	0.0117	0.0052	0.163	0.0078	0.0035
2	-+	24	0.183	0.0153	0.0068	0.0956	0.0118	0.0053	1.7301	0.1061	0.0475	0.018	0.0129	0.0058	0.1732	0.0113	0.0051
2	-+	25	0.1723	0.0104	0.0047	0.085	0.0083	0.0037	1.7227	0.1019	0.0456	0.0073	0.0107	0.0048	0.1626	0.0065	0.0029
2	-+	26	0.1692	0.014	0.0063	0.0818	0.0108	0.0048	1.7205	0.1061	0.0475	0.0042	0.0124	0.0056	0.1594	0.0097	0.0043
2	-+	27	0.1711	0.0137	0.0061	0.0838	0.0101	0.0045	1.7219	0.105	0.047	0.0062	0.0123	0.0055	0.1614	0.0083	0.0037
2	-+	28	0.1792	0.0115	0.0052	0.0918	0.01	0.0045	1.7275	0.1012	0.0453	0.0142	0.0125	0.0056	0.1695	0.008	0.0036
2	-+	29	0.1699	0.0109	0.0049	0.0826	0.0081	0.0036	1.7211	0.1032	0.0462	0.005	0.0102	0.0046	0.1602	0.0068	0.0031
2	-+	30	0.171	0.0138	0.0062	0.0837	0.0103	0.0046	1.7218	0.1054	0.0471	0.0061	0.0117	0.0053	0.1613	0.0095	0.0043
2	-+	31	0.1651	0.0128	0.0057	0.0778	0.0086	0.0038	1.7177	0.1066	0.0477	0.0002	0.01	0.0045	0.1554	0.0081	0.0036
2	-+	32	0.1598	0.0148	0.0066	0.0725	0.0112	0.005	1.7141	0.107	0.0478	-0.0051	0.0119	0.0053	0.1501	0.0112	0.005
2	-+	33	0.1542	0.0103	0.0046	0.0669	0.0064	0.0029	1.7102	0.1062	0.0475	-0.0107	0.0068	0.0031	0.1445	0.0074	0.0033
2	-+	34	0.1753	0.0112	0.005	0.088	0.008	0.0036	1.7248	0.1039	0.0465	0.0104	0.01	0.0045	0.1656	0.0068	0.003
2	-+	35	0.1721	0.0114	0.0051	0.0848	0.0083	0.0037	1.7226	0.1042	0.0466	0.0072	0.0101	0.0045	0.1624	0.0074	0.0033
2	-+	36	0.1626	0.0128	0.0057	0.0752	0.0109	0.0049	1.716	0.1013	0.0453	-0.0024	0.0132	0.0059	0.1528	0.009	0.004
2	-+	37	0.1559	0.0136	0.0061	0.0686	0.0113	0.0051	1.7114	0.1029	0.046	-0.009	0.0129	0.0058	0.1462	0.0104	0.0046
2	-+	38	0.1605	0.0151	0.0067	0.0732	0.0113	0.005	1.7146	0.1067	0.0477	-0.0044	0.0126	0.0056	0.1508	0.0107	0.0048
2	-+	39	0.1592	0.0128	0.0057	0.0718	0.0091	0.0041	1.7136	0.1053	0.0471	-0.0058	0.0109	0.0049	0.1495	0.0081	0.0036
2	-+	40	0.1589	0.0119	0.0053	0.0716	0.0083	0.0037	1.7135	0.1058	0.0473	-0.006	0.0099	0.0044	0.1492	0.0076	0.0034
2	-+	41	0.1557	0.01	0.0045	0.0683	0.0066	0.0029	1.7112	0.1042	0.0466	-0.0093	0.0093	0.0041	0.1459	0.0044	0.002
2	-+	42	0.1556	0.0137	0.0061	0.0683	0.0102	0.0046	1.7111	0.1063	0.0475	-0.0093	0.0119	0.0053	0.1459	0.0092	0.0041
2	-+	43	0.1541	0.012	0.0054	0.0668	0.0077	0.0034	1.7101	0.1063	0.0475	-0.0109	0.0095	0.0043	0.1444	0.0067	0.003
2	-+	44	0.1654	0.0093	0.0042	0.0781	0.0059	0.0026	1.7179	0.1045	0.0467	0.0005	0.0077	0.0034	0.1557	0.0053	0.0024
2	-+	45	0.1649	0.0087	0.0039	0.0775	0.0057	0.0025	1.7176	0.1037	0.0464	-0.0001	0.0075	0.0034	0.1551	0.0051	0.0023
2	-+	46	0.1578	0.0124	0.0056	0.0705	0.009	0.004	1.7127	0.1047	0.0468	-0.0071	0.0114	0.0051	0.1481	0.0072	0.0032
2	-+	47	0.1563	0.0109	0.0049	0.069	0.0078	0.0035	1.7116	0.1042	0.0466	-0.0086	0.0105	0.0047	0.1466	0.0056	0.0025
2	-+	48	0.151	0.0121	0.0054	0.0637	0.0084	0.0038	1.708	0.1049	0.0469	-0.0139	0.0105	0.0047	0.1413	0.0071	0.0032
2	-+	49	0.1449	0.0108	0.0048	0.0575	0.007	0.0031	1.7037	0.1049	0.0469	-0.0201	0.0089	0.004	0.1352	0.0062	0.0028
2	-+	50	0.1618	0.0136	0.0061	0.0744	0.0096	0.0043	1.7154	0.1065	0.0476	-0.0032	0.0111	0.005	0.152	0.0089	0.004
2	--	0	0.009	0.0085	0.0038	-0.0783	0.0044	0.002	1.6095	0.1062	0.0475	-0.1559	0.0049	0.0022	-0.0007	0.0057	0.0026
2	--	1	0.1679	0.0096	0.0043	0.0806	0.0055	0.0025	1.7197	0.1071	0.0479	0.0029	0.0053	0.0024	0.1582	0.0071	0.0032
2	--	2	0.2521	0.0183	0.0082	0.1648	0.016	0.0072	1.778	0.1087	0.0486	0.0872	0.0148	0.0066	0.2424	0.0177	0.0079
2	--	3	0.3521	0.0565	0.0253	0.2647	0.0588	0.0263	1.8473	0.0766	0.0343	0.1871	0.0598	0.0268	0.3423	0.0579	0.0259
2	--	4	0.3227	0.0352	0.0158	0.2354	0.0366	0.0164	1.827	0.0911	0.0407	0.1578	0.0385	0.0172	0.313	0.0348	0.0156
