motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
4	++++	30	1.2527	0.2263	0.1012	0.9777	0.1765	0.0789	2.4451	0.2164	0.0968
4	++++	31	1.1993	0.2297	0.1027	0.9243	0.1789	0.08	2.4081	0.228	0.102
4	++++	32	1.3605	0.1508	0.0674	1.0855	0.1112	0.0498	2.5198	0.1489	0.0666
4	++++	33	1.2044	0.2338	0.1045	0.9294	0.1832	0.0819	2.4116	0.2269	0.1015
4	++++	34	1.2296	0.2382	0.1065	0.9545	0.1881	0.0841	2.4291	0.226	0.1011
4	++++	35	1.1627	0.2237	0.1001	0.8877	0.1731	0.0774	2.3827	0.2233	0.0999
4	++++	36	1.2772	0.1649	0.0738	1.0022	0.1168	0.0522	2.4621	0.1783	0.0797
4	++++	37	1.2068	0.2209	0.0988	0.9317	0.1702	0.0761	2.4133	0.2225	0.0995
4	++++	38	1.2113	0.2122	0.0949	0.9363	0.1634	0.0731	2.4164	0.2043	0.0914
4	++++	39	1.1789	0.2254	0.1008	0.9039	0.1746	0.0781	2.3939	0.226	0.1011
4	++++	40	1.2375	0.1589	0.071	0.9624	0.1106	0.0495	2.4345	0.176	0.0787
4	++++	41	1.1725	0.22	0.0984	0.8975	0.1692	0.0757	2.3895	0.2229	0.0997
4	++++	42	1.2161	0.2108	0.0943	0.9411	0.1628	0.0728	2.4198	0.2061	0.0922
4	++++	43	1.1517	0.2158	0.0965	0.8766	0.1652	0.0739	2.3751	0.2221	0.0993
4	++++	44	1.1585	0.1624	0.0726	0.8835	0.1129	0.0505	2.3798	0.1804	0.0807
4	++++	45	1.1224	0.2235	0.1	0.8474	0.1728	0.0773	2.3548	0.2256	0.1009
4	++++	46	1.122	0.1972	0.0882	0.847	0.1475	0.0659	2.3545	0.2002	0.0895
4	++++	47	1.1534	0.2111	0.0944	0.8783	0.1603	0.0717	2.3763	0.2179	0.0975
4	++++	48	1.1378	0.1257	0.0562	0.8627	0.0774	0.0346	2.3655	0.158	0.0707
4	++++	49	1.1414	0.2171	0.0971	0.8663	0.1664	0.0744	2.3679	0.2194	0.0981
4	++++	50	1.1396	0.2007	0.0897	0.8646	0.1506	0.0674	2.3667	0.2032	0.0909
4	++--	0	0.8877	0.31	0.1386	0.6127	0.275	0.123	2.1921	0.3152	0.1409
4	++--	1	0.9771	0.2339	0.1046	0.7021	0.2026	0.0906	2.2541	0.2299	0.1028
4	++--	2	2.8024	0.2479	0.1109	2.5274	0.2147	0.096	3.5193	0.2399	0.1073
4	++--	3	2.2556	0.3594	0.1607	1.9806	0.3312	0.1481	3.1403	0.2901	0.1297
4	++--	4	1.3256	0.2374	0.1061	1.0506	0.2169	0.097	2.4957	0.169	0.0756
4	++--	5	1.7075	0.2387	0.1068	1.4325	0.2213	0.099	2.7603	0.1697	0.0759
4	++--	6	1.0873	0.3302	0.1477	0.8122	0.281	0.1256	2.3304	0.2888	0.1292
4	++--	7	1.1508	0.222	0.0993	0.8757	0.1722	0.077	2.3744	0.2288	0.1023
4	++--	8	1.2692	0.2977	0.1332	0.9941	0.2507	0.1121	2.4565	0.2531	0.1132
4	++--	9	1.0067	0.2001	0.0895	0.7317	0.1504	0.0672	2.2746	0.2166	0.0969
4	++--	10	1.3635	0.1778	0.0795	1.0885	0.1289	0.0577	2.5219	0.1833	0.082
