motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_E2F_mean	log2_fc_vs_single_E2F_std	log2_fc_vs_single_E2F_sem	log2_fc_vs_single_AP1_1_mean	log2_fc_vs_single_AP1_1_std	log2_fc_vs_single_AP1_1_sem
2	-+	28	0.295	0.0139	0.0062	0.1505	0.0085	0.0038	1.7974	0.1131	0.0506	0.2856	0.0123	0.0055	0.0153	0.0115	0.0052
2	-+	29	0.2874	0.0234	0.0105	0.1428	0.0185	0.0083	1.7921	0.1013	0.0453	0.278	0.0233	0.0104	0.0077	0.0167	0.0075
2	-+	30	0.3029	0.0132	0.0059	0.1583	0.0053	0.0024	1.8029	0.1111	0.0497	0.2935	0.0121	0.0054	0.0232	0.0071	0.0032
2	-+	31	0.3023	0.0107	0.0048	0.1578	0.0066	0.003	1.8025	0.1062	0.0475	0.2929	0.0111	0.005	0.0226	0.0101	0.0045
2	-+	32	0.2922	0.0174	0.0078	0.1476	0.0116	0.0052	1.7955	0.1159	0.0518	0.2828	0.0162	0.0073	0.0125	0.0121	0.0054
2	-+	33	0.2843	0.0203	0.0091	0.1398	0.0137	0.0061	1.79	0.105	0.047	0.2749	0.0199	0.0089	0.0046	0.011	0.0049
2	-+	34	0.2809	0.0188	0.0084	0.1364	0.0117	0.0052	1.7877	0.1093	0.0489	0.2715	0.0175	0.0078	0.0012	0.0102	0.0045
2	-+	35	0.2765	0.0154	0.0069	0.1319	0.0089	0.004	1.7846	0.1056	0.0472	0.2671	0.0148	0.0066	-0.0032	0.0089	0.004
2	-+	36	0.2975	0.0147	0.0066	0.1529	0.0078	0.0035	1.7991	0.1129	0.0505	0.2881	0.0133	0.006	0.0178	0.0092	0.0041
2	-+	37	0.2913	0.0216	0.0097	0.1467	0.0144	0.0064	1.7948	0.105	0.047	0.2818	0.0214	0.0096	0.0116	0.0098	0.0044
2	-+	38	0.2968	0.0135	0.006	0.1523	0.0051	0.0023	1.7987	0.1098	0.0491	0.2874	0.0129	0.0058	0.0171	0.005	0.0022
2	-+	39	0.2989	0.0084	0.0038	0.1544	0.0053	0.0024	1.8001	0.1056	0.0472	0.2895	0.0092	0.0041	0.0192	0.0105	0.0047
2	-+	40	0.2929	0.017	0.0076	0.1484	0.0113	0.0051	1.796	0.1154	0.0516	0.2835	0.0155	0.0069	0.0132	0.0124	0.0056
2	-+	41	0.279	0.0204	0.0091	0.1344	0.013	0.0058	1.7863	0.1069	0.0478	0.2696	0.0197	0.0088	-0.0007	0.0096	0.0043
2	-+	42	0.2749	0.0198	0.0089	0.1304	0.0129	0.0057	1.7835	0.1105	0.0494	0.2655	0.0185	0.0083	-0.0048	0.0113	0.005
2	-+	43	0.2744	0.0135	0.0061	0.1299	0.0072	0.0032	1.7831	0.1065	0.0476	0.265	0.0127	0.0057	-0.0053	0.0091	0.0041
2	-+	44	0.2904	0.0127	0.0057	0.1458	0.0067	0.003	1.7942	0.1131	0.0506	0.281	0.0116	0.0052	0.0107	0.0098	0.0044
2	-+	45	0.2799	0.0172	0.0077	0.1354	0.0109	0.0049	1.787	0.1042	0.0466	0.2705	0.0172	0.0077	0.0002	0.0089	0.004
2	-+	46	0.2883	0.0175	0.0078	0.1438	0.0096	0.0043	1.7928	0.1105	0.0494	0.2789	0.0164	0.0073	0.0086	0.0073	0.0032
2	-+	47	0.2877	0.0156	0.007	0.1431	0.007	0.0031	1.7923	0.1088	0.0487	0.2783	0.0152	0.0068	0.008	0.0023	0.001
2	-+	48	0.2888	0.0181	0.0081	0.1442	0.0105	0.0047	1.7931	0.1147	0.0513	0.2794	0.0171	0.0076	0.0091	0.0081	0.0036
2	-+	49	0.2802	0.019	0.0085	0.1357	0.0111	0.005	1.7872	0.107	0.0478	0.2708	0.0186	0.0083	0.0005	0.0063	0.0028
2	-+	50	0.3021	0.0179	0.008	0.1575	0.0096	0.0043	1.8023	0.1115	0.0499	0.2927	0.0168	0.0075	0.0224	0.0067	0.003
2	--	0	0.6222	0.0639	0.0286	0.4777	0.0617	0.0276	2.0242	0.1392	0.0623	0.6128	0.0617	0.0276	0.3425	0.0627	0.028
2	--	1	0.2646	0.0569	0.0254	0.12	0.0515	0.023	1.7763	0.1155	0.0516	0.2551	0.0563	0.0252	-0.0152	0.0477	0.0213
2	--	2	0.2349	0.0256	0.0114	0.0903	0.0184	0.0082	1.7557	0.1111	0.0497	0.2254	0.025	0.0112	-0.0448	0.0139	0.0062
2	--	3	0.2965	0.0241	0.0108	0.152	0.0236	0.0106	1.7985	0.1175	0.0526	0.2871	0.0219	0.0098	0.0168	0.0278	0.0124
2	--	4	0.334	0.0347	0.0155	0.1895	0.0341	0.0153	1.8245	0.126	0.0563	0.3246	0.035	0.0157	0.0543	0.0352	0.0157
