position	mean_all	median_all	mean_decile4	mean_decile6	mean_decile8	mean_decile10
-5375.0	3.7728345	1.0	1.3392926	1.9767407	4.023789	16.857088
-5325.0	3.7665184	1.0	1.3396387	1.9693946	4.0384073	16.847841
-5275.0	3.7833846	1.0	1.3454819	1.9974802	4.0805855	16.912628
-5225.0	3.7954342	1.0	1.36196	2.0023065	4.134692	16.882551
-5175.0	3.7830923	1.0	1.3559859	2.0152128	4.1261	16.81979
-5125.0	3.770891	1.0	1.3578459	2.028452	4.1299267	16.69692
-5075.0	3.763152	1.0	1.3792677	2.0352006	4.100099	16.619148
-5025.0	3.7408223	1.0	1.3687227	2.008452	4.0777707	16.500937
-4975.0	3.716885	1.0	1.3423274	1.9931786	4.0090675	16.52171
-4925.0	3.7003095	1.0	1.3208069	1.9809204	3.9672403	16.557499
-4875.0	3.67252	1.0	1.2866957	1.9780326	3.9319587	16.558535
-4825.0	3.6383407	1.0	1.2564849	1.9618807	3.9110796	16.515533
-4775.0	3.6083732	1.0	1.2461361	1.9576063	3.9090993	16.393734
-4725.0	3.5991123	1.0	1.2485299	1.9673855	3.960713	16.293322
-4675.0	3.592332	1.0	1.255671	1.9352137	4.029245	16.218678
-4625.0	3.5887353	1.0	1.2679431	1.9122541	4.0636344	16.1458
-4575.0	3.5902867	1.0	1.2672424	1.8995465	4.1334715	16.107344
-4525.0	3.5906467	1.0	1.2864484	1.8944006	4.154478	16.06966
-4475.0	3.571071	1.0	1.3190855	1.8769271	4.13878	15.932641
-4425.0	3.544821	1.0	1.3254822	1.8932014	4.127479	15.68306
-4375.0	3.5206256	1.0	1.3332568	1.8853875	4.127911	15.445858
-4325.0	3.4962585	1.0	1.3279493	1.9006797	4.072804	15.245528
-4275.0	3.4679682	1.0	1.3170052	1.9019607	4.031835	15.080305
-4225.0	3.4445426	1.0	1.2956587	1.9282141	3.9979398	14.915011
-4175.0	3.4282672	1.0	1.2950047	1.930448	3.954521	14.833242
-4125.0	3.4134037	1.0	1.2922705	1.9294648	3.9490094	14.794272
-4075.0	3.3975668	1.0	1.2963517	1.9231938	3.9253304	14.762258
-4025.0	3.3938446	1.0	1.3003277	1.9320002	3.8805084	14.806177
-3975.0	3.396532	1.0	1.31093	1.9101977	3.8162975	14.920589
-3925.0	3.4142225	1.0	1.3138778	1.914867	3.7625804	15.138459
-3875.0	3.453185	1.0	1.3058889	1.9358476	3.7309577	15.455271
-3825.0	3.493565	1.0	1.2999465	1.92968	3.7122626	15.756569
-3775.0	3.5410075	1.0	1.2956315	1.9312671	3.7246952	16.060373
-3725.0	3.5836937	1.0	1.2815533	1.9322809	3.7711833	16.30691
-3675.0	3.6214852	1.0	1.2650553	1.9678802	3.8212233	16.538269
-3625.0	3.641352	1.0	1.2720238	1.995812	3.8524632	16.634579
-3575.0	3.650721	1.0	1.2823882	2.032732	3.8798995	16.629757
-3525.0	3.6378007	1.0	1.2714442	2.0358877	3.8982346	16.524773
-3475.0	3.627039	1.0	1.2733988	2.0436738	3.91702	16.438795
-3425.0	3.6107183	1.0	1.3138785	2.004847	3.9194605	16.288788
